Suit of Card 1,Rank of Card 1,Suit of Card 2,Rank of Card 2,Suit of Card 3,Rank of Card 3,Suit of Card 4,Rank of Card 4,Suit of Card 5,Rank of Card 5,Poker Hand
3,7,2,2,1,7,2,7,1,2,6
4,4,2,4,1,4,3,1,1,1,6
3,2,1,2,3,11,1,11,4,11,6
2,5,3,5,1,11,3,11,2,11,6
2,1,1,2,4,2,3,1,3,2,6
3,8,3,2,1,2,2,8,4,8,6
1,4,2,10,1,10,3,4,2,4,6
1,13,4,13,3,9,1,9,2,13,6
3,2,4,2,1,2,1,13,2,13,6
4,8,3,7,2,8,1,7,1,8,6
4,11,2,2,4,2,3,11,1,2,6
3,5,2,6,4,6,1,6,1,5,6
2,9,1,4,1,9,4,4,3,9,6
1,10,3,10,4,10,2,4,4,4,6
2,9,3,11,1,11,1,9,3,9,6
4,1,1,1,3,8,2,1,2,8,6
1,9,4,4,2,9,2,4,1,4,6
4,5,1,5,3,11,2,11,3,5,6
1,6,1,13,2,6,3,6,3,13,6
4,4,3,9,2,4,2,9,1,9,6
3,13,4,8,2,8,1,13,1,8,6
3,10,3,5,4,5,1,10,2,10,6
4,3,2,1,4,1,2,3,3,1,6
2,8,1,10,4,8,2,10,3,8,6
3,8,2,8,4,8,1,13,4,13,6
2,7,4,5,4,7,2,5,1,5,6
4,6,4,11,1,11,2,11,2,6,6
3,13,4,13,4,6,2,13,3,6,6
4,11,3,11,1,3,3,3,4,3,6
1,6,3,6,1,3,4,3,2,3,6
3,8,2,6,3,6,1,8,4,8,6
4,10,2,11,3,11,3,10,1,10,6
1,4,3,3,4,4,1,3,2,4,6
1,10,3,3,3,10,2,10,4,3,6
1,6,2,6,4,12,3,6,1,12,6
3,4,1,4,2,4,2,6,3,6,6
